id,lon,lat
pt_ll_267,3.160240000000001,5.76
pt_ll_268,1.4797600000000024,3.5999999999999996
pt_ll_269,1.9600000000000009,4.32
pt_ll_270,1.9600000000000009,4.32
pt_ll_271,1.9600000000000009,4.32
pt_ll_272,1.7800000000000011,4.32
pt_ll_273,1.6000000000000014,4.32
pt_ll_274,2.5597600000000007,5.04
pt_ll_275,1.0002400000000016,3.5999999999999996
pt_ll_5762,1.1197600000000012,3.5999999999999996
pt_ll_276,3.8802400000000006,6.4799999999999995
pt_ll_277,5.680240000000001,7.92
pt_ll_278,-0.0797599999999985,2.16
pt_ll_279,-0.5599999999999987,2.16
pt_ll_280,-0.9199999999999982,1.44
pt_ll_281,0.8800000000000008,3.5999999999999996
pt_ll_282,0.9397600000000015,3.5999999999999996
pt_ll_283,0.8202400000000019,2.88
pt_ll_284,0.7597600000000018,2.88
pt_ll_285,1.0002400000000016,3.5999999999999996
pt_ll_286,1.240000000000002,3.5999999999999996
pt_ll_287,3.7600000000000007,6.4799999999999995
pt_ll_288,5.680240000000001,7.92
pt_ll_289,0.8800000000000008,3.5999999999999996
pt_ll_290,1.0002400000000016,3.5999999999999996
pt_ll_291,1.0002400000000016,3.5999999999999996
pt_ll_292,1.1197600000000012,3.5999999999999996
pt_ll_293,1.1197600000000012,3.5999999999999996
pt_ll_294,1.0600000000000005,3.5999999999999996
pt_ll_295,1.4200000000000017,3.5999999999999996
pt_ll_296,1.1197600000000012,3.5999999999999996
pt_ll_297,1.6000000000000014,4.32
pt_ll_298,1.1197600000000012,3.5999999999999996
pt_ll_299,1.360240000000001,3.5999999999999996
pt_ll_300,1.7202400000000004,4.32
pt_ll_301,1.360240000000001,3.5999999999999996
pt_ll_302,1.7202400000000004,4.32
pt_ll_303,1.7202400000000004,4.32
pt_ll_304,1.240000000000002,3.5999999999999996
pt_ll_305,1.360240000000001,3.5999999999999996
pt_ll_306,1.6000000000000014,4.32
pt_ll_307,1.9600000000000009,4.32
pt_ll_308,2.0802400000000008,4.32
pt_ll_309,2.500000000000001,5.04
pt_ll_310,2.0802400000000008,4.32
pt_ll_311,2.5597600000000007,5.04
pt_ll_312,1.240000000000002,3.5999999999999996
pt_ll_313,1.360240000000001,3.5999999999999996
pt_ll_314,1.6000000000000014,4.32
pt_ll_315,1.8397600000000018,4.32
pt_ll_316,2.0802400000000008,4.32
pt_ll_317,2.6800000000000006,5.04
pt_ll_318,2.8002400000000005,5.04
pt_ll_319,2.1997600000000013,4.32
pt_ll_320,2.0802400000000008,4.32
pt_ll_321,3.040000000000001,5.76
pt_ll_322,2.5597600000000007,5.04
pt_ll_323,2.1997600000000013,4.32
pt_ll_324,2.0802400000000008,4.32
pt_ll_325,2.320000000000001,5.04
pt_ll_326,2.320000000000001,5.04
pt_ll_327,2.919760000000001,5.04
pt_ll_328,2.5597600000000007,5.04
pt_ll_329,3.040000000000001,5.76
pt_ll_330,2.5597600000000007,5.04
pt_ll_331,2.8002400000000005,5.04
pt_ll_332,3.4000000000000012,5.76
pt_ll_333,3.520240000000001,5.76
pt_ll_334,3.4000000000000012,5.76
pt_ll_335,3.040000000000001,5.76
pt_ll_336,3.6397600000000008,5.76
